Distribution #,Price,Quantity
13202734,$39.77 / CS,6
18300849,$25.67 / CS,8
15300722,$80.03 / CS,2
L8750026,$35.51 / CS,5
10800130,$40.40 / CS,4
39350259,$45.85 / CS,4
L8750012,$49.08 / CS,4
39350930,$47.33 / CS,2
34780058,$35.61 / CS,1
L8750170,$33.70 / CS,4
L8750173,$17.19 / CS,4
75002926,$29.93 / CS,2
14100740,$72.57 / CS,1
14100488,$44.30 / CS,1
14100924,$33.31 / CS,1
78000066,$24.99 / CS,2
75007170,$7.73 / CS,2
75007160,$7.73 / CS,1
75007190,$7.73 / CS,2
35620344,$30.81 / RL,6
38990219,$24.34 / CS,4
H2640015,$70.57 / CS,2
62200292,$23.92 / CS,1
L8750165,$27.69 / CS,2
42550000,$36.57 / CS,2
16502092,$75.64 / CS,1
541590481,$4.26 / BX,2
49050032,$69.36 / CS,1
14100865,$39.16 / CS,1
L8750022,$62.50 / CS,5
L8750024,$98.01 / CS,2
10060033,$32.86 / CS,1
75000448,$10.30 / CS,1
42550169,$44.88 / CS,1
61490140,$148.98 / CS,1
3200159,$71.34 / CS,2
3200153,$49.27 / CS,1
3200155,$57.63 / CS,1
3200151,$84.54 / CS,2
61542151,$42.27 / CS,1
39541606,$59.63 / CS,1
29858636,$29.91 / CS,3
10900894,$86.59 / CS,1
34000015,$89.79 / CS,1
34000014,$51.36 / CS,1
75004161,$13.05 / CS,1
32219777,$36.69 / CS,1
39350926,$37.66 / CS,1
12202038,$48.17 / CS,1
727568301,$12.26 / EA,3
12500720,$68.41 / CS,3